journal,year,title,abstract,doi,relevance_score
restat,2010,Minimum Wage Effects Across State Borders: Estimates Using Contiguous Counties,We use policy discontinuities at state borders to identify the effects of minimum wages on earnings and employment in restaurants and other low-wage sectors. Our approach generalizes the case study method by considering all local differences in minimum wage policies between 1990 and 2006. We compare all contiguous county pairs in the United States that straddle a state border and find no adverse employment effects. We show that traditional approaches that do not account for local economic conditions tend to produce spurious negative effects due to spatial heterogeneities in employment trends that are unrelated to minimum wage policies. Our findings are robust to allowing for long-term effects of minimum wage changes.,https://doi.org/10.1162/rest_a_00039,1130.174
jhr,2015,Effects of the Minimum Wage on Employment Dynamics,"Abstract The voluminous literature on minimum wages offers little consensus on the extent to which a wage floor impacts employment. We argue that the minimum wage will impact employment over time through changes in growth rather than an immediate drop in relative employment levels. We show that commonly used specifications in this literature, especially those that include state-specific time trends, will not accurately capture these effects. Using three separate state panels of administrative employment data, we find that the minimum wage reduces job growth over a period of several years. This finding is supported using several empirical specifications.",https://doi.org/10.3368/jhr.51.2.0414-6298r1,805.42816
ilr,2014,Revisiting the Minimum Wage—Employment Debate: Throwing Out the Baby with the Bathwater?,"The authors revisit the long-running minimum wage–employment debate to assess new studies claiming that estimates produced by the panel data approach commonly used in recent minimum wage research are flawed by that approach's failure to account for spatial heterogeneity. The new studies use research designs intended to control for this heterogeneity and conclude that minimum wages in the United States have not reduced employment. The authors explore the ability of the new research designs to isolate reliable identifying information, and they test the designs' untested assumptions about the construction of better control groups. Their analysis reveals problems with the new research designs. Moreover, using methods that let the data identify the appropriate control groups, their results reaffirm the evidence of disemployment effects, with teen employment elasticities near −0.15. This evidence, they conclude, still shows that minimum wages pose a tradeoff of higher wages for some against job losses for others.",https://doi.org/10.1177/00197939140670s307,768.00574
aeja,2011,Minimum Wages and Firm Profitability,"We study the impact of minimum wages on firm profitability, exploiting the changes induced by the introduction of a UK national minimum wage in 1999. We use pre-policy information on the distribution of wages to implement a difference-in-differences approach. Minimum wages raise wages, but also significantly reduce profitability (especially in industries with relatively high market power). This is consistent with a simple model where wage gains from minimum wages map directly into profit reductions. There is some suggestive evidence of longer run adjustment to the minimum wage through falls in net entry rates. (JEL J31, J38, L25)",https://doi.org/10.1257/app.3.1.129,748.4563
ir,2011,Do Minimum Wages Really Reduce Teen Employment? Accounting for Heterogeneity and Selectivity in State Panel Data,"Traditional estimates that often find minimum wage disemployment effects include controls for state unemployment rates and state- and year-fixed effects. Using CPS data on teens for the period 1990–2009, we show that such estimates fail to account for heterogeneous employment patterns that are correlated with selectivity among states with minimum wages. As a result, the estimates are often biased and not robust to the source of identifying variation. Including controls for long-term growth differences among states and for heterogeneous economic shocks renders the employment and hours elasticities indistinguishable from zero and rules out any but very small disemployment effects. Dynamic evidence further shows the nature of bias in traditional estimates, and it also rules out all but very small negative long-run effects. In addition, we do not find evidence that employment effects vary in different parts of the business cycle. We also consider predictable versus unpredictable changes in the minimum wage by looking at the effects of state indexation of the minimum wage.",https://doi.org/10.1111/j.1468-232x.2011.00634.x,639.27264
aeja,2015,The Contribution of the Minimum Wage to US Wage Inequality over Three Decades: A Reassessment,"We reassess the effect of minimum wages on US earnings inequality using additional decades of data and an IV strategy that addresses potential biases in prior work. We find that the minimum wage reduces inequality in the lower tail of the wage distribution, though by substantially less than previous estimates, suggesting that rising lower tail inequality after 1980 primarily reflects underlying wage structure changes rather than an unmasking of latent inequality. These wage effects extend to percentiles where the minimum is nominally nonbinding, implying spillovers. We are unable to reject that these spillovers are due to reporting artifacts, however. (JEL J22, J31, J38, K31)",https://doi.org/10.1257/app.20140073,575.77795
jole,2016,"Minimum Wage Shocks, Employment Flows, and Labor Market Frictions","We provide the first estimates of the effects of minimum wages on employment flows in the US labor market, identifying the impact by using policy discontinuities at state borders. We find that minimum wages have a sizable negative effect on employment flows but not on stocks. Separations and accessions fall among affected workers, especially those with low tenure. We do not find changes in the duration of nonemployment for separations or hires. This evidence is consistent with search models with endogenous separations.",https://doi.org/10.1086/685449,514.54065
aer,2012,The Spending and Debt Response to Minimum Wage Hikes,"Immediately following a minimum wage hike, household income rises on average by about $250 per quarter and spending by roughly $700 per quarter for households with minimum wage workers. Most of the spending response is caused by a small number of households who purchase vehicles. Furthermore, we find that the high spending levels are financed through increases in collateralized debt. Our results are consistent with a model where households can borrow against durables and face costs of adjusting their durables stock. (JEL D12, D14, D91, J38)",https://doi.org/10.1257/aer.102.7.3111,464.68134
ej,2013,The Impact of Minimum Wages on Labour Market Transitions,"We investigate differences in labour market transition rates between high and low minimum wage regimes using Canadian data spanning 1979–2008. We find that higher minimum wages result in lower hiring rates but also lower job separation rates. Importantly, the reduced separation rates are due mainly to reductions in layoffs, occur in the first six months of a job and are present for unskilled workers of all ages. Thus, jobs in higher minimum wage regimes are more stable but harder to get. For older workers, these effects are almost exactly offsetting, resulting in little impact on the employment rate.",https://doi.org/10.1111/ecoj.12032,455.04614
sej,2010,Minimum Wages and Poverty: Will a $9.50 Federal Minimum Wage Really Help the Working Poor?,"Using data drawn from the March Current Population Survey, we find that state and federal minimum wage increases between 2003 and 2007 had no effect on state poverty rates. When we then simulate the effects of a proposed federal minimum wage increase from $7.25 to $9.50 per hour, we find that such an increase will be even more poorly targeted to the working poor than was the last federal increase from $5.15 to $7.25 per hour. Assuming no negative employment effects, only 11.3% of workers who will gain live in poor households, compared to 15.8% from the last increase. When we allow for negative employment effects, we find that the working poor face a disproportionate share of the job losses. Our results suggest that raising the federal minimum wage continues to be an inadequate way to help the working poor.",https://doi.org/10.4284/sej.2010.76.3.592,440.53247
